ID	NAME	URL	PARTY	SORT_NAME
300151	Sen. Tim Hutchinson (R-AR, 1997-2002)	http://www.govtrack.us/congress/members/tim_hutchinson/300151	R	Hutchinson, Tim (Sen.) [R-AR, 1997-2002]
300152	Sen. Maxwell Cleland (D-GA, 1997-2002)	http://www.govtrack.us/congress/members/maxwell_cleland/300152	D	Cleland, Maxwell (Sen.) [D-GA, 1997-2002]
300155	Sen. Bob Smith (R-NH, 1990-2002)	http://www.govtrack.us/congress/members/bob_smith/300155	R	Smith, Bob (Sen.) [R-NH, 1990-2002]
300156	Sen. Robert Torricelli (D-NJ, 1997-2002)	http://www.govtrack.us/congress/members/robert_torricelli/300156	D	Torricelli, Robert (Sen.) [D-NJ, 1997-2002]
400003	Rep. Gary Ackerman (D-NY5, 1993-2013)	http://www.govtrack.us/congress/members/gary_ackerman/400003	D	Ackerman, Gary (Rep.) [D-NY5, 1993-2013]
400005	Rep. Todd Akin (R-MO2, 2001-2013)	http://www.govtrack.us/congress/members/todd_akin/400005	R	Akin, Todd (Rep.) [R-MO2, 2001-2013]
400006	Rep. Rodney Alexander (R-LA5)	http://www.govtrack.us/congress/members/rodney_alexander/400006	R	Alexander, Rodney (Rep.) [R-LA5]
400007	Rep. Thomas "Tom" Allen (D-ME1, 1997-2009)	http://www.govtrack.us/congress/members/thomas_allen/400007	D	Allen, Thomas â€œTomâ€ (Rep.) [D-ME1, 1997-2009]
400008	Rep. Robert "Rob" Andrews (D-NJ1)	http://www.govtrack.us/congress/members/robert_andrews/400008	D	Andrews, Robert â€œRobâ€ (Rep.) [D-NJ1]
400009	Rep. Joe Baca (D-CA43, 2003-2013)	http://www.govtrack.us/congress/members/joe_baca/400009	D	Baca, Joe (Rep.) [D-CA43, 2003-2013]
400010	Rep. Spencer Bachus (R-AL6)	http://www.govtrack.us/congress/members/spencer_bachus/400010	R	Bachus, Spencer (Rep.) [R-AL6]
400011	Rep. Brian Baird (D-WA3, 1999-2010)	http://www.govtrack.us/congress/members/brian_baird/400011	D	Baird, Brian (Rep.) [D-WA3, 1999-2010]
400013	Sen. Tammy Baldwin (D-WI)	http://www.govtrack.us/congress/members/tammy_baldwin/400013	D	Baldwin, Tammy (Sen.) [D-WI]
400014	Rep. Frank Ballance (D-NC1, 2003-2004)	http://www.govtrack.us/congress/members/frank_ballance/400014	D	Ballance, Frank (Rep.) [D-NC1, 2003-2004]
400016	Rep. James "J. Gresham" Barrett (R-SC3, 2003-2010)	http://www.govtrack.us/congress/members/james_barrett/400016	R	Barrett, James â€œJ. Greshamâ€ (Rep.) [R-SC3, 2003-2010]
400017	Rep. Roscoe Bartlett (R-MD6, 1993-2013)	http://www.govtrack.us/congress/members/roscoe_bartlett/400017	R	Bartlett, Roscoe (Rep.) [R-MD6, 1993-2013]
400018	Rep. Joe Barton (R-TX6)	http://www.govtrack.us/congress/members/joe_barton/400018	R	Barton, Joe (Rep.) [R-TX6]
400019	Rep. Charles "Charlie" Bass (R-NH2, 2011-2013)	http://www.govtrack.us/congress/members/charles_bass/400019	R	Bass, Charles â€œCharlieâ€ (Rep.) [R-NH2, 2011-2013]
400020	Rep. Bob Beauprez (R-CO7, 2003-2006)	http://www.govtrack.us/congress/members/bob_beauprez/400020	R	Beauprez, Bob (Rep.) [R-CO7, 2003-2006]
400021	Rep. Xavier Becerra (D-CA34)	http://www.govtrack.us/congress/members/xavier_becerra/400021	D	Becerra, Xavier (Rep.) [D-CA34]
400024	Rep. Shelley Berkley (D-NV1, 1999-2013)	http://www.govtrack.us/congress/members/shelley_berkley/400024	D	Berkley, Shelley (Rep.) [D-NV1, 1999-2013]
400025	Rep. Howard Berman (D-CA28, 2003-2013)	http://www.govtrack.us/congress/members/howard_berman/400025	D	Berman, Howard (Rep.) [D-CA28, 2003-2013]
400027	Rep. Judy Biggert (R-IL13, 1999-2013)	http://www.govtrack.us/congress/members/judy_biggert/400027	R	Biggert, Judy (Rep.) [R-IL13, 1999-2013]
400028	Rep. Michael Bilirakis (R-FL9, 1983-2006)	http://www.govtrack.us/congress/members/michael_bilirakis/400028	R	Bilirakis, Michael (Rep.) [R-FL9, 1983-2006]
400029	Rep. Rob Bishop (R-UT1)	http://www.govtrack.us/congress/members/rob_bishop/400029	R	Bishop, Rob (Rep.) [R-UT1]
400031	Rep. Timothy Bishop (D-NY1)	http://www.govtrack.us/congress/members/timothy_bishop/400031	D	Bishop, Timothy (Rep.) [D-NY1]
400032	Rep. Marsha Blackburn (R-TN7)	http://www.govtrack.us/congress/members/marsha_blackburn/400032	R	Blackburn, Marsha (Rep.) [R-TN7]
400033	Rep. Earl Blumenauer (D-OR3)	http://www.govtrack.us/congress/members/earl_blumenauer/400033	D	Blumenauer, Earl (Rep.) [D-OR3]
400034	Sen. Roy Blunt (R-MO)	http://www.govtrack.us/congress/members/roy_blunt/400034	R	Blunt, Roy (Sen.) [R-MO]
400035	Rep. Sherwood "Sherry" Boehlert (R-NY24, 2003-2006)	http://www.govtrack.us/congress/members/sherwood_boehlert/400035	R	Boehlert, Sherwood â€œSherryâ€ (Rep.) [R-NY24, 2003-2006]
400036	Rep. John Boehner (R-OH8)	http://www.govtrack.us/congress/members/john_boehner/400036	R	Boehner, John (Rep.) [R-OH8]
400037	Rep. Henry Bonilla (R-TX23, 1993-2006)	http://www.govtrack.us/congress/members/henry_bonilla/400037	R	Bonilla, Henry (Rep.) [R-TX23, 1993-2006]
400038	Rep. Jo Bonner (R-AL1)	http://www.govtrack.us/congress/members/jo_bonner/400038	R	Bonner, Jo (Rep.) [R-AL1]
400039	Rep. Mary Bono Mack (R-CA45, 2003-2013)	http://www.govtrack.us/congress/members/mary_bono_mack/400039	R	Bono Mack, Mary (Rep.) [R-CA45, 2003-2013]
400040	Sen. John Boozman (R-AR)	http://www.govtrack.us/congress/members/john_boozman/400040	R	Boozman, John (Sen.) [R-AR]
400044	Rep. Allen Boyd (D-FL2, 1997-2010)	http://www.govtrack.us/congress/members/allen_boyd/400044	D	Boyd, Allen (Rep.) [D-FL2, 1997-2010]
400045	Rep. Jeb Bradley (R-NH1, 2003-2006)	http://www.govtrack.us/congress/members/jeb_bradley/400045	R	Bradley, Jeb (Rep.) [R-NH1, 2003-2006]
400046	Rep. Kevin Brady (R-TX8)	http://www.govtrack.us/congress/members/kevin_brady/400046	R	Brady, Kevin (Rep.) [R-TX8]
400047	Rep. Robert Brady (D-PA1)	http://www.govtrack.us/congress/members/robert_brady/400047	D	Brady, Robert (Rep.) [D-PA1]
400048	Rep. Corrine Brown (D-FL5)	http://www.govtrack.us/congress/members/corrine_brown/400048	D	Brown, Corrine (Rep.) [D-FL5]
400050	Sen. Sherrod Brown (D-OH)	http://www.govtrack.us/congress/members/sherrod_brown/400050	D	Brown, Sherrod (Sen.) [D-OH]
400051	Rep. Virginia "Ginny" Brown-Waite (R-FL5, 2003-2010)	http://www.govtrack.us/congress/members/virginia_brown_waite/400051	R	Brown-Waite, Virginia â€œGinnyâ€ (Rep.) [R-FL5, 2003-2010]
400052	Rep. Michael Burgess (R-TX26)	http://www.govtrack.us/congress/members/michael_burgess/400052	R	Burgess, Michael (Rep.) [R-TX26]
400053	Rep. Max Burns (R-GA12, 2003-2004)	http://www.govtrack.us/congress/members/max_burns/400053	R	Burns, Max (Rep.) [R-GA12, 2003-2004]
400054	Sen. Richard Burr (R-NC)	http://www.govtrack.us/congress/members/richard_burr/400054	R	Burr, Richard (Sen.) [R-NC]
400055	Rep. Dan Burton (R-IN5, 2003-2013)	http://www.govtrack.us/congress/members/dan_burton/400055	R	Burton, Dan (Rep.) [R-IN5, 2003-2013]
400056	Rep. Stephen "Steve" Buyer (R-IN4, 2003-2010)	http://www.govtrack.us/congress/members/stephen_buyer/400056	R	Buyer, Stephen â€œSteveâ€ (Rep.) [R-IN4, 2003-2010]
400057	Rep. Ken Calvert (R-CA42)	http://www.govtrack.us/congress/members/ken_calvert/400057	R	Calvert, Ken (Rep.) [R-CA42]
400058	Rep. Dave Camp (R-MI4)	http://www.govtrack.us/congress/members/dave_camp/400058	R	Camp, Dave (Rep.) [R-MI4]
400060	Rep. Eric Cantor (R-VA7)	http://www.govtrack.us/congress/members/eric_cantor/400060	R	Cantor, Eric (Rep.) [R-VA7]
